borrower_id,borrower_name,institute_id,institute_name,city,state,nirf_rank,nirf_score,institute_tier,course,applicant_origin,gpa_scale,raw_gpa,normalized_cgpa_10,backlogs,internships,certifications,job_portal_activity,interview_count,placement_cell_index,sector_demand_index,historical_course_placement_rate,loan_amount_lakh,moratorium_days_left,placed_3m,placed_6m,placed_12m,actual_salary_lpa,early_delinquency
B000716,Nitesh Laxminarayan,IR-E-U-0255,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,51,53.13,2,mba,indian,4,2.96,7.39,0,0,0,0.388,1,0.336,0.334,0.783,10.37,115,1,1,1,9.39,1
B000717,Priya Krishnan,IR-E-C-6379,Netaji Subhas University of Technology,Delhi,Delhi,57,51.52,2,btech_cse,indian,10,7.0,7.0,1,0,6,0.446,2,0.429,0.794,0.842,7.69,204,0,1,1,5.66,0
B000718,Parth Mahanti,IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,5,76.88,1,btech_cse,indian,10,8.43,8.43,0,3,2,0.647,0,0.6,0.764,0.96,15.14,140,1,1,1,11.63,0
B000719,Akshay Mathew,IR-E-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,43,56.35,2,btech_cse,indian,10,7.32,7.32,0,0,2,0.425,0,0.573,0.803,0.717,15.2,32,1,1,1,5.38,0
B000720,Jeetu Namboothiri,IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,8,71.55,1,core_engineering,indian,10,7.29,7.29,2,1,0,0.617,4,0.677,0.484,0.759,11.68,200,0,1,1,7.68,0
B000721,Priya Namboodiri,IR-E-C-1269,R V College of Engineering,Bengaluru,Karnataka,99,44.26,3,mba,indian,10,6.25,6.25,0,1,1,0.318,0,0.489,0.648,0.775,14.6,229,0,0,0,0.0,1
B000722,Komal Mahanti,IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,2,86.66,1,btech_cse,indian,10,6.74,6.74,0,1,4,0.398,4,0.95,0.651,0.834,12.08,38,1,1,1,10.31,0
B000723,Pavitra Bhattacharya,IR-E-U-0379,Lovely Professional University,Phagwara,Punjab,50,54.16,2,btech_cse,indian,10,7.99,7.99,0,3,3,1.0,3,0.534,0.718,0.731,8.57,170,1,1,1,9.21,0
B000724,Priya Nambiar,IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,8,71.55,1,mba,indian,10,9.19,9.19,1,2,1,0.64,3,0.675,0.562,0.85,20.14,49,0,1,1,10.94,0
B000725,Tanvi Krishnan,IR-E-C-1297,Siddaganga Institute of Technology,Tumkur,Karnataka,100,43.95,3,btech_cse,indian,10,6.15,6.15,2,0,1,0.811,0,0.407,0.665,0.701,7.95,40,0,0,0,0.0,0
B000726,Niyati Masarrate,IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,1,89.46,1,commerce_arts,indian,10,8.2,8.2,1,4,0,0.701,1,0.95,0.309,0.689,24.53,182,1,1,1,8.53,0
B000727,Naresh Bhatnagar,IR-E-C-19754,SR University,Warangal,Telangana,98,44.29,3,core_engineering,indian,10,6.37,6.37,1,1,2,0.53,0,0.378,0.425,0.529,14.2,34,0,0,1,5.74,1
B000728,Parag Iyengar,IR-E-U-0255,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,51,53.13,2,mba,indian,10,7.18,7.18,0,2,0,0.822,4,0.537,0.476,0.689,24.79,150,1,1,1,8.04,0
B000729,Kamal Luthra,IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,1,89.46,1,btech_cse,indian,10,9.79,9.79,0,4,4,0.801,4,0.704,0.533,0.96,13.55,166,1,1,1,14.64,0
B000730,Eshan Gupta,IR-E-U-0374,Dr B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,58,51.11,2,core_engineering,indian,10,7.54,7.54,0,2,1,0.355,1,0.462,0.681,0.649,15.68,40,0,1,1,4.61,1
B000731,Neha Dixit,IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,1,89.46,1,core_engineering,indian,10,8.16,8.16,0,2,0,0.179,1,0.706,0.432,0.916,13.4,133,0,1,1,10.43,0
B000732,Nandini Mahanti,IR-E-U-0622,National Institute of Technology Delhi,Delhi,Delhi,45,55.67,2,btech_cse,indian,10,6.65,6.65,0,1,1,0.703,3,0.39,0.543,0.82,9.18,67,1,1,1,5.43,1
B000733,Hina Nag,IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,53,52.85,2,commerce_arts,indian,4,2.31,5.78,0,1,0,0.688,2,0.535,0.364,0.566,17.68,121,0,0,0,0.0,1
B000734,Faisal Chaurasia,IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,5,76.88,1,mba,indian,10,8.3,8.3,0,2,0,0.74,5,0.523,0.509,0.789,18.01,196,1,1,1,11.5,1
B000735,Arya Lal,IR-E-U-0334,Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,39,57.89,2,mba,indian,10,6.83,6.83,2,2,0,0.494,3,0.669,0.569,0.736,15.33,166,0,0,0,0.0,1
B000736,Divya Iyer,IR-E-U-0555,Graphic Era University,Dehradun,Uttarakhand,52,52.96,2,btech_cse,indian,10,7.46,7.46,0,1,2,0.753,2,0.539,0.694,0.551,10.75,164,0,1,1,7.81,0
B000737,Ishan Murty,IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,44,56.26,2,core_engineering,foreign,4,2.8,7.0,0,1,2,0.7,4,0.402,0.517,0.708,17.98,183,1,1,1,7.74,0
B000738,Karan Merchant,IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,6,76.0,1,core_engineering,indian,10,9.21,9.21,0,1,1,0.416,2,0.73,0.724,0.767,16.26,175,1,1,1,12.64,0
B000739,Milind Lamba,IR-E-U-0223,Jain University Bangalore,Bengaluru,Karnataka,95,44.61,3,btech_cse,indian,10,7.0,7.0,0,1,1,0.819,4,0.348,0.587,0.734,11.3,59,1,1,1,4.75,0
B000740,Jatin Mishra,IR-E-U-0334,Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,39,57.89,2,mba,indian,10,7.66,7.66,0,0,3,0.454,0,0.527,0.571,0.815,14.93,144,1,1,1,10.31,0
B000741,Kishan Birla,IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,4,82.79,1,mba,indian,10,7.66,7.66,0,2,1,0.662,1,0.804,0.494,0.926,13.53,221,1,1,1,11.46,0
B000742,Pavitra Mohan,IR-E-C-19754,SR University,Warangal,Telangana,98,44.29,3,btech_cse,indian,4,2.79,6.98,1,0,2,0.819,1,0.453,0.705,0.807,17.42,94,1,1,1,4.36,1
B000743,Noor Lakhanpal,IR-E-U-0379,Lovely Professional University,Phagwara,Punjab,50,54.16,2,core_engineering,indian,10,8.01,8.01,0,2,0,0.552,3,0.614,0.281,0.623,6.23,50,0,1,1,8.16,0
B000744,Mohan Bhatnagar,IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,5,76.88,1,core_engineering,indian,10,8.02,8.02,0,4,0,0.696,4,0.606,0.426,0.696,24.18,238,1,1,1,8.8,1
B000745,Karthik Birla,IR-E-U-0334,Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,39,57.89,2,commerce_arts,indian,10,7.44,7.44,0,2,0,0.292,0,0.719,0.35,0.521,13.47,124,1,1,1,5.0,0
B000746,Bhuvan Nanda,IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,53,52.85,2,core_engineering,indian,4,3.0,7.5,0,0,2,0.661,0,0.441,0.317,0.559,21.78,236,0,0,1,5.04,1
B000747,Kamal Masarrate,IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,7,71.86,1,core_engineering,indian,10,9.01,9.01,1,2,0,0.544,3,0.582,0.539,0.756,13.04,144,1,1,1,10.8,0
B000748,Pavitra Chaurasia,IR-E-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,48,54.18,2,btech_cse,indian,10,7.72,7.72,0,0,2,0.339,0,0.611,0.584,0.852,12.86,35,1,1,1,5.77,0
B000749,Jeet Mookerjee,IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,53,52.85,2,btech_cse,indian,10,6.49,6.49,1,2,2,0.903,5,0.52,0.874,0.791,11.54,49,1,1,1,9.37,0
B000750,Sneha Murty,IR-E-U-0622,National Institute of Technology Delhi,Delhi,Delhi,45,55.67,2,mba,indian,10,7.86,7.86,0,1,3,0.211,0,0.69,0.45,0.757,16.82,130,0,1,1,9.49,0
B000751,Mohan Goyanka,IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,2,86.66,1,btech_cse,indian,10,9.56,9.56,0,3,4,0.998,4,0.698,0.706,0.96,12.43,103,1,1,1,14.14,0
B000752,Hemant Mahajan,IR-E-U-0334,Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,39,57.89,2,btech_cse,indian,10,6.85,6.85,1,0,2,0.406,1,0.591,0.746,0.802,17.57,40,1,1,1,6.75,0
B000753,Bhavna Bansal,IR-E-U-0555,Graphic Era University,Dehradun,Uttarakhand,52,52.96,2,core_engineering,foreign,4,2.68,6.71,1,1,0,0.61,1,0.181,0.59,0.751,17.13,106,0,0,1,4.6,0
B000754,Keya Jain,IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,54,52.54,2,core_engineering,indian,10,6.42,6.42,1,1,1,0.776,2,0.271,0.35,0.701,11.33,236,0,1,1,5.72,1
B000755,Naveen Joshi,IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,44,56.26,2,btech_cse,indian,10,7.1,7.1,0,0,3,0.419,1,0.267,0.892,0.818,10.15,109,1,1,1,8.76,1
B000756,Jatin Iyer,IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,9,66.88,1,commerce_arts,foreign,4,2.76,6.9,0,3,1,0.467,0,0.621,0.314,0.451,6.75,116,0,1,1,5.6,0
B000757,Jatin Mishra,IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,2,86.66,1,core_engineering,indian,4,2.8,7.01,0,2,0,0.614,5,0.86,0.638,0.839,16.75,64,1,1,1,8.76,0
B000758,Kishan Kumar,IR-E-U-0701,Indian Institute of Technology BHU Varanasi,Varanasi,Uttar Pradesh,10,66.69,1,btech_cse,indian,10,9.44,9.44,1,3,2,0.52,3,0.629,0.81,0.795,11.0,32,1,1,1,12.68,0
B000759,Keya Murthy,IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,44,56.26,2,btech_cse,indian,10,9.19,9.19,0,0,0,0.593,0,0.565,0.854,0.854,7.6,200,0,1,1,10.06,0
B000760,Nikita Mitra,IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,44,56.26,2,core_engineering,indian,10,8.05,8.05,0,0,2,0.895,2,0.478,0.524,0.654,11.65,137,1,1,1,6.04,0
B000761,Nilesh Mishra,IR-E-C-1269,R V College of Engineering,Bengaluru,Karnataka,99,44.26,3,core_engineering,indian,10,7.32,7.32,0,1,1,0.846,1,0.392,0.438,0.527,17.47,155,0,1,1,5.69,0
B000762,Naveen Chaurasia,IR-E-U-0373,Chitkara University,Rajpura,Punjab,94,44.82,3,core_engineering,indian,10,6.32,6.32,1,0,1,0.636,1,0.413,0.555,0.613,7.26,26,0,0,0,0.0,1
B000763,Peeyush Nander,IR-E-C-30045,C V Raman Global University Odisha,Bhubaneswar,Odisha,96,44.55,3,core_engineering,indian,10,6.93,6.93,0,0,1,0.847,3,0.471,0.361,0.548,15.39,36,0,1,1,2.4,0
B000764,Parvati Gupta,IR-E-C-30045,C V Raman Global University Odisha,Bhubaneswar,Odisha,96,44.55,3,btech_cse,indian,4,2.14,5.34,0,0,2,0.659,4,0.594,0.744,0.657,13.8,109,0,0,0,0.0,0
B000765,Akshay Birla,IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,49,54.17,2,mba,foreign,4,2.67,6.67,0,0,2,0.568,0,0.315,0.564,0.773,26.08,72,0,1,1,6.41,0
B000766,Kishan Nanda,IR-E-C-19754,SR University,Warangal,Telangana,98,44.29,3,btech_cse,indian,10,7.47,7.47,0,0,1,0.615,0,0.37,0.696,0.595,7.89,132,0,1,1,4.38,0
B000767,Naina Verma,IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,8,71.55,1,commerce_arts,indian,10,7.73,7.73,0,1,0,0.824,3,0.75,0.467,0.753,11.5,75,1,1,1,8.78,0
B000768,Niyati Kapoor,IR-E-U-0373,Chitkara University,Rajpura,Punjab,94,44.82,3,btech_cse,indian,10,5.72,5.72,2,0,4,0.518,4,0.312,0.744,0.627,4.0,45,0,0,0,0.0,1
B000769,Nandini Mahajan,IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,9,66.88,1,btech_cse,indian,10,6.63,6.63,0,2,2,0.975,5,0.563,0.757,0.854,19.96,169,1,1,1,8.88,0
B000770,Shreya Menon,IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,44,56.26,2,btech_cse,indian,10,6.9,6.9,1,0,3,0.404,3,0.647,0.885,0.88,21.49,108,0,0,1,6.45,0
B000771,Rohit Mathur,IR-E-U-0564,UPES,Dehradun,Uttarakhand,42,56.65,2,mba,foreign,4,2.69,6.73,0,2,3,0.587,3,0.582,0.711,0.698,25.05,216,1,1,1,8.66,0
B000772,Rahul Lamba,IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,11,66.22,1,core_engineering,indian,10,7.36,7.36,0,4,0,0.924,3,0.567,0.425,0.667,22.17,193,1,1,1,8.34,0
B000773,Eshan Dey,IR-E-C-6379,Netaji Subhas University of Technology,Delhi,Delhi,57,51.52,2,btech_cse,indian,10,8.08,8.08,0,3,1,0.445,4,0.488,0.747,0.607,16.13,166,0,1,1,9.3,0
B000774,Narmada Malik,IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,6,76.0,1,mba,indian,10,8.27,8.27,0,1,1,0.412,0,0.759,0.487,0.939,23.83,135,0,0,1,10.51,0
B000775,Naina Khanna,IR-E-U-0701,Indian Institute of Technology BHU Varanasi,Varanasi,Uttar Pradesh,10,66.69,1,core_engineering,indian,10,9.21,9.21,0,3,1,0.969,4,0.479,0.358,0.74,20.13,134,0,1,1,10.14,0
B000776,Mangal Iyer,IR-E-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,43,56.35,2,mba,indian,4,3.28,8.2,0,1,0,0.51,1,0.497,0.491,0.726,23.95,64,1,1,1,8.16,0
B000777,Milind Gupta,IR-E-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,47,54.29,2,mba,indian,10,8.09,8.09,0,0,0,0.378,1,0.717,0.727,0.797,23.43,201,1,1,1,6.92,1
B000778,Parisha Malik,IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,59,51.04,2,core_engineering,indian,10,7.6,7.6,0,1,1,0.716,0,0.706,0.617,0.69,14.53,90,0,0,1,4.24,0
B000779,Sakshi Merchant,IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,53,52.85,2,commerce_arts,indian,4,2.83,7.07,2,0,0,0.782,0,0.569,0.585,0.616,4.0,106,0,0,0,0.0,0
B000780,Lokesh Dwivedi,IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,6,76.0,1,btech_cse,indian,4,3.16,7.89,0,1,3,0.339,0,0.634,0.805,0.878,15.62,228,1,1,1,11.74,0
B000781,Rohit Menon,IR-E-U-0379,Lovely Professional University,Phagwara,Punjab,50,54.16,2,core_engineering,indian,10,6.51,6.51,0,0,2,0.532,0,0.43,0.356,0.762,17.09,45,1,1,1,5.1,0
B000782,Bhuvan Dasgupta,IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,46,55.01,2,mba,indian,4,2.67,6.68,3,0,0,0.786,4,0.341,0.452,0.852,18.19,160,0,1,1,7.07,1
B000783,Aditya Bhatnagar,IR-E-U-0621,National Institute of Technology Puducherry,Karaikal,Pondicherry,97,44.38,3,btech_cse,indian,4,2.75,6.88,0,0,0,0.458,0,0.408,0.69,0.642,8.09,189,1,1,1,5.9,0
B000784,Kamal Bhatnagar,IR-E-U-0255,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,51,53.13,2,btech_cse,indian,10,8.85,8.85,0,0,2,0.674,0,0.344,0.794,0.785,11.21,115,1,1,1,9.05,0
B000785,Ravi Iyer,IR-E-U-0621,National Institute of Technology Puducherry,Karaikal,Pondicherry,97,44.38,3,btech_cse,indian,10,6.98,6.98,0,0,3,0.297,0,0.238,0.74,0.677,12.26,153,0,1,1,8.21,1
B000786,Milan Nag,IR-E-U-0555,Graphic Era University,Dehradun,Uttarakhand,52,52.96,2,btech_cse,indian,4,2.98,7.46,0,2,6,0.591,0,0.527,0.873,0.757,19.44,234,1,1,1,8.39,0
B000787,Arya Kumar,IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,53,52.85,2,commerce_arts,indian,10,5.85,5.85,2,0,1,0.477,0,0.569,0.468,0.62,12.91,167,0,0,0,0.0,0
B000788,Kamal Bansal,IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,11,66.22,1,btech_cse,indian,4,3.73,9.33,0,2,1,0.446,5,0.629,0.578,0.96,12.7,190,1,1,1,12.81,0
B000789,Nisha Deshpande,IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,49,54.17,2,core_engineering,indian,10,5.08,5.08,2,2,3,0.532,3,0.45,0.227,0.668,4.0,137,0,0,0,0.0,1
B000790,Naveen Nander,IR-E-U-0701,Indian Institute of Technology BHU Varanasi,Varanasi,Uttar Pradesh,10,66.69,1,commerce_arts,indian,10,7.76,7.76,0,2,1,0.74,2,0.601,0.352,0.63,22.97,172,1,1,1,8.21,0
B000791,Kavya Dey,IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,4,82.79,1,btech_cse,indian,10,8.04,8.04,0,3,2,0.546,4,0.819,0.829,0.951,14.36,17,1,1,1,13.51,0
B000792,Sakshi Iyer,IR-E-U-0622,National Institute of Technology Delhi,Delhi,Delhi,45,55.67,2,btech_cse,indian,10,8.17,8.17,0,1,4,0.923,3,0.665,0.921,0.814,15.51,100,0,1,1,12.62,1
B000793,Kanika Nag,IR-E-C-1269,R V College of Engineering,Bengaluru,Karnataka,99,44.26,3,mba,indian,4,2.7,6.74,1,1,2,0.687,3,0.411,0.479,0.622,21.66,205,1,1,1,8.92,0
B000794,Jeetu Gopal,IR-E-U-0373,Chitkara University,Rajpura,Punjab,94,44.82,3,commerce_arts,indian,10,7.22,7.22,1,0,0,0.825,1,0.443,0.561,0.6,16.84,18,0,0,0,0.0,1
B000795,Milan Nambiar,IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,54,52.54,2,commerce_arts,indian,10,7.39,7.39,0,2,2,0.773,1,0.6,0.409,0.601,5.4,91,0,0,1,3.82,0
B000796,Sakshi Kulkarni,IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,40,57.6,2,mba,indian,10,6.89,6.89,0,1,4,0.47,2,0.545,0.535,0.826,17.25,216,0,1,1,8.5,0
B000797,Peeyush Iyer,IR-E-U-0622,National Institute of Technology Delhi,Delhi,Delhi,45,55.67,2,btech_cse,indian,10,7.48,7.48,0,0,0,0.297,0,0.62,0.817,0.683,17.92,200,1,1,1,9.34,0
B000798,Nitesh Mathur,IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,40,57.6,2,core_engineering,indian,10,7.97,7.97,0,0,2,0.777,0,0.475,0.486,0.672,26.2,223,1,1,1,6.46,0
B000799,Milind Bhattacharya,IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,59,51.04,2,btech_cse,indian,10,5.96,5.96,1,2,1,0.689,4,0.337,0.766,0.858,8.52,83,0,0,1,2.66,0
B000800,Meera Nanda,IR-E-U-0072,National Institute of Technology Patna,Patna,Bihar,55,52.28,2,commerce_arts,indian,10,7.1,7.1,0,0,3,0.155,1,0.519,0.403,0.571,15.03,193,0,0,0,0.0,1
B000801,Mangal Kapoor,IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,6,76.0,1,core_engineering,indian,10,7.5,7.5,1,1,0,0.862,4,0.869,0.429,0.886,19.69,109,0,1,1,8.03,0
B000802,Pawan Lamba,IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,4,82.79,1,core_engineering,indian,10,8.5,8.5,1,0,1,0.395,0,0.831,0.412,0.82,13.78,212,0,1,1,9.22,0
B000803,Naresh Verma,IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,8,71.55,1,core_engineering,indian,10,7.98,7.98,0,3,0,0.763,5,0.617,0.483,0.829,20.97,60,1,1,1,9.2,0
B000804,Ashwin Dwivedi,IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,59,51.04,2,mba,indian,10,8.94,8.94,0,0,3,0.589,2,0.269,0.616,0.667,12.84,162,1,1,1,9.73,0
B000805,Parvati Birla,IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,4,82.79,1,commerce_arts,indian,10,8.17,8.17,0,3,0,0.78,5,0.718,0.1,0.765,27.97,138,0,1,1,8.73,0
B000806,Gaurav Murthy,IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,40,57.6,2,btech_cse,indian,4,3.2,8.0,0,0,5,0.384,0,0.498,0.95,0.924,16.79,65,1,1,1,7.14,0
B000807,Ojas Kapoor,IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,2,86.66,1,mba,indian,10,8.0,8.0,0,3,0,0.987,5,0.612,0.472,0.813,22.7,192,1,1,1,13.41,0
B000808,Kunal Menon,IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,1,89.46,1,core_engineering,indian,10,9.06,9.06,0,1,0,0.714,1,0.833,0.401,0.911,8.29,156,0,1,1,8.85,0
B000809,Hina Khanna,IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,60,50.65,2,btech_cse,indian,10,6.37,6.37,1,1,0,0.241,2,0.452,0.896,0.715,11.86,37,0,0,0,0.0,1
B000810,Nikita Lamba,IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,44,56.26,2,core_engineering,indian,10,7.31,7.31,0,1,5,0.694,4,0.653,0.662,0.74,11.12,177,1,1,1,7.08,0
B000811,Hemant Kapoor,IR-E-U-0621,National Institute of Technology Puducherry,Karaikal,Pondicherry,97,44.38,3,btech_cse,foreign,4,2.41,6.02,1,1,0,0.768,2,0.284,0.506,0.706,22.65,217,0,0,1,2.4,1
B000812,Priya Namboothiri,IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,53,52.85,2,btech_cse,indian,10,7.0,7.0,0,0,2,0.735,3,0.605,0.922,0.883,17.76,59,0,1,1,6.89,0
B000813,Pavitra Menon,IR-E-U-0374,Dr B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,58,51.11,2,btech_cse,indian,10,6.5,6.5,0,1,3,0.759,4,0.503,0.741,0.809,13.44,34,1,1,1,5.34,0
B000814,Niyati Mishra,IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,6,76.0,1,mba,indian,10,7.33,7.33,0,2,3,0.819,3,0.688,0.708,0.904,21.73,174,1,1,1,10.28,1
B000815,Niyati Lakhanpal,IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,40,57.6,2,core_engineering,indian,4,2.58,6.44,1,0,0,0.327,0,0.537,0.49,0.575,14.34,35,0,0,0,0.0,1
B000816,Mangal Verma,IR-E-C-6379,Netaji Subhas University of Technology,Delhi,Delhi,57,51.52,2,mba,indian,10,4.95,4.95,1,2,5,0.524,1,0.271,0.547,0.657,19.64,212,0,0,1,3.63,1
B000817,Ishita Kumar,IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,49,54.17,2,btech_cse,indian,10,7.19,7.19,1,2,3,0.482,0,0.711,0.598,0.734,19.04,197,1,1,1,6.51,0
B000818,Naresh Mohindra,IR-E-U-0072,National Institute of Technology Patna,Patna,Bihar,55,52.28,2,btech_cse,indian,10,7.46,7.46,0,3,1,0.855,5,0.408,0.812,0.751,13.48,77,1,1,1,10.46,0
B000819,Mohan Kapoor,IR-E-U-0621,National Institute of Technology Puducherry,Karaikal,Pondicherry,97,44.38,3,commerce_arts,indian,10,7.03,7.03,0,0,2,0.784,2,0.47,0.295,0.417,11.39,104,1,1,1,2.4,1
B000820,Lokesh Mahajan,IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,6,76.0,1,commerce_arts,indian,10,7.3,7.3,0,2,0,0.991,2,0.746,0.318,0.812,16.21,89,0,1,1,9.79,0
B000821,Nitin Lakhanpal,IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,53,52.85,2,core_engineering,indian,10,8.1,8.1,0,0,0,0.594,3,0.341,0.407,0.73,10.72,158,1,1,1,5.03,0
B000822,Niyati Singh,IR-E-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,41,56.93,2,mba,indian,10,7.3,7.3,1,3,4,0.785,3,0.529,0.69,0.901,18.42,92,0,1,1,7.58,0
B000823,Noor Goyanka,IR-E-U-0374,Dr B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,58,51.11,2,core_engineering,indian,10,6.21,6.21,1,1,0,0.7,3,0.44,0.301,0.554,15.22,203,0,1,1,4.2,1
B000824,Manit Verma,IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,53,52.85,2,core_engineering,indian,10,8.93,8.93,0,2,1,0.712,6,0.382,0.558,0.682,14.37,195,1,1,1,7.13,1
B000825,Nilesh Merchant,IR-E-U-0564,UPES,Dehradun,Uttarakhand,42,56.65,2,btech_cse,indian,4,3.22,8.04,0,2,5,0.575,3,0.531,0.683,0.848,13.68,42,1,1,1,7.98,0
B000826,Nilesh Bhattacharya,IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,53,52.85,2,btech_cse,indian,4,2.73,6.82,0,0,4,0.394,0,0.645,0.787,0.747,14.73,184,0,1,1,5.84,1
B000827,Lokesh Chopra,IR-E-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,41,56.93,2,btech_cse,indian,10,7.42,7.42,0,1,3,0.848,4,0.482,0.651,0.862,8.74,209,1,1,1,9.23,1
B000828,Harsh Mathew,IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,2,86.66,1,mba,foreign,4,3.74,9.34,0,4,1,1.0,5,0.9,0.748,0.96,18.46,131,1,1,1,13.0,0
B000829,Varun Marwaha,IR-E-U-0379,Lovely Professional University,Phagwara,Punjab,50,54.16,2,btech_cse,indian,10,7.95,7.95,0,0,5,0.754,3,0.405,0.633,0.746,10.35,70,1,1,1,9.75,0
B000830,Sneha Bhatnagar,IR-E-C-19754,SR University,Warangal,Telangana,98,44.29,3,btech_cse,indian,4,2.8,7.01,0,0,4,0.612,0,0.479,0.526,0.775,8.65,201,0,1,1,4.41,0
